ethnic_group_code,ethnic_group,ethnic_group_countries
mlg,Malagasy,MDG
mal,Malayalam,"AUS, CAN, IND, PAK, SAU, THA, USA, ZAF"
may,Malays,"BRN, IDN, MYS, SGP, THA"
div,Maldivian,MDV
mlt,Maltese,"AUS, CAN, GBR, MLT, USA"
mng,Mananja-Nayanja,MWI
mnc,Manchu,"CAN, CHN, JPN, PRK, RUS, USA"
mdr,Mandar,IDN
mnd,Mande,"BEN, BFA, CIV, GHA, GIN, GMB, GNB, LBR, MLI, MRT, NER, NGA, SEN, SLE, TCD"
man,Mandinka (Mandigo/Mandingue),"BFA, CIV, GIN, GNB, LBR, MLI, MRT, NER, SEN, SLE, TCD"
mni,Manipuri,IND
mnj,Manjack (Manjaco),"GMB, GNB, SEN"
mnn,Mano,LBR
glv,Manx,"GBR, USA"
mny,Manyika,"MOZ, ZWE"
mon,Maonan,CHN
mao,Maori,"AUS, CAN, GBR, NZL, USA"
arn,Mapuche,"ARG, CHL"
mar,Marathi,"AUS, IND, ISR, MUS, USA"
chm,Mari,RUS
mah,Marshallese,"MHL, NRU"
mwr,Marwaris,IND
myn,Maya,"BLZ, GTM, HND, MEX, SLV"
mya,Mayangnas,"HND, NIC"
mbk,M'Baka,"CAF, COD"
mba,Mbandja,"CAF, COD, COG"
mbe,Mbere (Mbede),"COG, GAB"
mbo,Mbochi,COG
mbu,Mbundu-Mestico,AGO
men,Mende,SLE
mtz,Mestizo,MEX
mia,Miao,"CHN, FRA, LAO, THA, VNM"
mij,Mijikenda,"KEN, SOM, TZA"
mic,Mi'kmaq,"CAN, USA"
mnh,Minahasa,IDN
min,Minangkabau,"IDN, MYS"
mwl,Mirandese,PRT
msk,Miskito,"HND, NIC"
miz,Mizo,"BGD, IND, MMR"
moh,Mohajirs,PAK
moh,Mohawk,USA
mdf,Mokshas,RUS
mld,Mole-Dagbani,GHA
mns,Mon,"MMR, THA"
lol,Mongo,COD
mon,Mongol (Mongolians),"CHN, CZE, JPN, KOR, MNG, RUS"
tuu,Mongour (Tu),CHN
mtn,Montenegrins,"ALB, ARG, AUS, BIH, BRA, CAN, HRV, ITA, MKD, MTN, SRB, SVN, TUR"
myv,Mordvins (Mordva),RUS
mro,Moro,"BRN, IDN, MYS, PHL"
mos,Mossi,"BFA, CIV, GHA"
mlo,Mulao,CHN
mla,Mulatto,HTI
mun,Munda,IND
muo,Muong,VNM
mus,Muscogee,USA
mye,Myene,GAB
nag,Naga,"IND, MMR"
nah,Nahua,MEX
nax,Nakhi (Naxi),CHN
nam,Nama,"BWA, NAM, ZAF"
nai,Native American,"CAN, USA"
nau,Nauruan,NRU
nav,Navajo,USA
ndo,Ndonga,"AGO, NAM"
nap,Neapolitan,ITA
nep,Nepali,"ARE, AUS, BTN, CAN, CHN, GBR, IND, JPN, KOR, MMR, MYS, NPL, PAK, QAT, SAU, USA"
nze,New Zealanders,"ARE, AUS, CAN, DEU, FRA, GBR, IRL, JPN, NLD, NZL, USA"
new,Newars,"BTN, CHN, IND, NPL"
dzo,Ngalop,"BTN, IND"
ngn,Ngbandi,"CAF, COD, COG"
ngo,Ngoni,"MWI, TZA, ZMB"
nir,Niari,COG
nia,Niasans,IDN
nib,Nibolek,COG
nca,Nicaraguan,"CRI, GTM, HND, MEX, PAN, NIC, SLV"
niu,Niuean,NIU
nkm,Nkomi,GAB
nog,Nogais,"BGR, KAZ, POL, ROM, RUS, TUR, UKR, UZB"
kmb,North Mbundu,AGO
nde,Northern Ndebele,"BWA, ZWE"
nso,Northern Sotho,ZAF
nor,Norwegians,"AUS, BRA, CAN, GBR, NOR, SWE, USA"
nuu,Nu,CHN
nba,Nuba,SDN
nub,Nubian,"EGY, SDN"
ner,Nuer,"ETH, SDN"
nng,Nung,"CHN, VNM"
nur,Nuristani,AFG
nyk,Nyakyusa,"MWI, TZA"
nym,Nyamwezi,TZA
nyo,Nyoro,UGA
nzi,Nzema,"CIV, GHA"
oci,Occitanians,"ESP, FRA, ITA, MCO"
ogo,Ogoni,NGA
oji,Ojibwe,"CAN, USA"
oki,Okinawan,JPN
oru,Orgunu,GAB
ori,Oriya,IND
orm,Oromo,"AUS, CAN, DEU, DJI, EGY, ETH, GBR, KEN, SAU, SOM, USA, YEM"
osa,Osage,USA
oss,Ossetians (Ossetes),"AZE, GEO, KAZ, RUS, SYR, TJK, TKM, UKR, UZB"
oto,Otomi,MEX
ova,Ovambo,"AGO, NAM"
pac,Pacic Islanders,"FJI, FSM, KIR, NRU, NZL, PLW, USA"
ran,Pahari Rajput (Rana/Thakuri),"IND, NPL"
pau,Palauan,PLW
pal,Palestinian,"ARE, AUS, CAN, CHL, COL, DEU, EGY, GBR, ISR, IRQ, JOR, KWT, LBN, MEX, PAK, PER, QAT, SAU, SLV, SWE, SYR, USA, YEM"
pnm,Panamanians,"COL, CRI, GTM, HND, NIC, PAN"
pag,Pangasinan,PHL
ppl,Papel,GNB
pap,Papiamento-Creole,"ABW, NLD"
paa,Papuan (Papua),"IDN, PNG"
par,Paraguayan,"ARG, BOL, BRA, CHL, ESP, PRY, URY, USA"
